sgRNA	Gene	Control	Vehicle	T8
ID_58153	CPXM2	2	5	1
ID_22997	TNFRSF10B	2	6	1
ID_40641	AFTPH	2	1	2
ID_70	AOC1	1	1	2
ID_66157	DEFB119	3	3	4
ID_37555	HDDC2	3	3	3
ID_10953	SMAD1	1	1	1
ID_43337	SAYSD1	1	2	0
ID_51491	KCNH6	1	1	1
ID_9730	ISG20	1	0	1
ID_70204	IRF2BP2	2	1	4
ID_46537	ENOPH1	1	2	1
ID_75946	CT47A12	1	0	0
ID_29667	OS9	1	0	1
ID_45115	TMEM159	1	2	1
ID_38604	PLA1A	2	0	3
ID_18511	ABCC8	1	0	1
ID_16792	SAFB	1	1	0
ID_62668	ZNF827	1	4	1
ID_9887	IVD	2	1	0
ID_21000	MALL	1	1	1
ID_35127	IL36RN	2	3	0
ID_41844	RIF1	1	0	1
ID_71359	C5orf46	1	1	2
ID_12021	MYH1	1	0	3
ID_51948	SBF2	1	3	3
ID_11583	MME	1	2	1
ID_61369	FAM109A	1	0	1
ID_20909	MAP3K12	2	2	0
ID_55931	BOC	1	0	3
ID_18488	SUOX	1	5	3
ID_38136	ACP6	2	0	0
ID_6940	GBE1	3	2	5
ID_33797	KLK5	2	4	1
ID_63871	CHST13	2	1	1
ID_40108	RHOF	1	0	2
ID_36639	ZDHHC8	2	1	0
ID_65362	TYSND1	1	3	0
ID_67974	RIMKLA	1	3	8
ID_4443	CYP21A2	1	0	4
ID_2173	CACNB1	3	2	1
ID_13459	PCSK5	1	1	0
ID_65229	OR4C16	2	1	2
ID_62618	CMC1	1	0	0
ID_66823	NPB	1	0	0
ID_38164	ZNF219	1	1	1
ID_3695	CORT	1	1	1
ID_13981	PIK3CD	1	0	0
ID_16144	RHO	2	1	0
ID_74998	TBC1D3	1	0	0
ID_8179	HAS2	1	4	4
ID_17723	SLIT3	4	1	0
ID_47874	SPANXD	1	0	0
ID_1278	ASPH	3	4	3
ID_14654	PPP2R5D	2	0	5
ID_3003	CEBPA	3	3	3
ID_76046	PHOSPHO2-KLHL23	1	0	2
ID_19659	TSPYL1	1	1	2
ID_27435	STX6	1	0	1
ID_69188	RGAG4	1	0	2
ID_29729	ADIRF	1	0	1
ID_64860	C17orf74	1	0	0
ID_71792	OR11G2	1	5	1
ID_56902	CFAP36	1	2	3
ID_63463	PGBD4	1	5	2
ID_64156	SSBP4	1	1	0
ID_37551	CCDC53	2	0	2
ID_34479	GIGYF2	1	0	2
ID_29278	FAXDC2	1	2	1
ID_66333	MMS22L	1	1	0
ID_5654	EPHA4	2	2	0
ID_10305	KRT1	1	0	1
ID_8374	ZBTB48	2	0	2
ID_57746	ZNF837	2	3	2
ID_5889	EVX1	1	0	1
ID_77156	controlguide715	2	0	2
ID_65168	C3orf58	1	4	0
ID_47911	PDIA2	2	1	2
ID_34189	SEC31B	1	1	3
ID_7911	GSTP1	2	3	9
ID_21156	ZNF212	2	1	0
ID_50975	CXorf21	1	1	1
ID_24378	COPB2	1	0	0
ID_25355	RIN1	1	0	1
ID_47412	C10orf54	1	1	5
ID_30851	COG2	2	0	1
ID_8101	HIST1H1T	1	0	3
ID_24890	HOMER1	1	2	0
ID_69545	NBPF7	2	2	0
ID_36371	ZC3H7A	1	1	0
ID_62818	TTC23L	2	1	5
ID_36012	RBMX	1	2	0
ID_17402	SKIL	2	5	1
ID_37670	RPS27L	1	1	0
ID_66574	PLA2G4F	1	0	1
ID_27133	ARFRP1	1	0	0
ID_33548	FLRT3	1	3	2
ID_21593	FZD4	3	3	4
ID_66184	DEFB130	3	1	0
ID_65659	REEP3	1	1	5
ID_70172	TICAM2	3	2	2
ID_60295	ADAT2	1	3	0
ID_31951	GPD1L	2	1	0
ID_45318	SMEK2	1	1	0
ID_14732	PREP	1	0	0
ID_31965	ZCCHC14	1	2	4
ID_66850	CATSPERD	1	0	2
ID_21952	DYRK2	1	0	0
ID_75201	SMIM10L1	1	1	0
ID_24643	PLAA	5	1	2
ID_7667	GPX2	2	0	3
ID_68257	SREK1IP1	1	1	1
ID_31279	SIRT2	1	1	2
ID_20131	VEGFA	1	2	2
ID_42760	FAM46A	1	0	1
ID_42516	STRADB	1	1	2
ID_8159	HADHB	1	1	0
ID_63347	LMNTD1	2	1	1
ID_69965	C2orf48	2	3	4
ID_25965	DHX38	1	1	0
ID_61788	APCDD1	3	1	2
ID_58740	TMEM219	3	3	1
ID_53069	FAM188B	1	1	1
ID_33058	ACAP2	2	2	3
ID_33561	FKBP8	1	0	1
ID_17217	SFSWAP	1	3	1
ID_6964	GC	1	2	0
ID_62029	C1orf52	1	3	1
ID_31375	ACIN1	1	0	2
ID_65369	GJD4	1	1	0
ID_15387	PTK6	1	2	1
ID_47441	TINAGL1	2	2	0
ID_27213	LPCAT3	1	0	0
ID_9726	IRS1	1	2	1
ID_1627	BCKDHB	1	1	4
ID_26165	GAB2	2	0	0
ID_13720	PFDN1	4	2	0
ID_74245	GOLGA8K	1	0	0
ID_24272	TBRG4	3	2	1
ID_54926	DOCK7	1	2	1
ID_52604	SLC25A2	2	1	2
ID_69792	KIF24	2	1	0
ID_12655	NMBR	1	2	2
ID_540	AHCY	1	0	2
ID_76840	controlguide399	1	1	3
ID_58141	ANAPC16	1	1	1
ID_70669	KRTAP10-1	1	0	0
ID_61805	ZNF578	3	3	1
ID_36553	ANKRD11	1	0	1
ID_7620	GPR39	1	1	0
ID_39075	AZIN1	1	0	0
ID_69639	CD200R1L	1	1	2
ID_20194	VRK2	1	1	2
ID_26903	RWDD2B	1	2	0
ID_36987	PILRB	2	1	1
ID_51469	TMPRSS5	1	0	2
ID_72928	CTRB2	1	1	1
ID_23539	TRPA1	1	0	0
ID_50479	DNAJC22	2	1	0
ID_38184	GLTP	1	1	2
ID_15047	PRSS3	1	1	0
ID_13412	PCDH9	1	0	0
ID_20309	WNT9B	1	3	0
ID_60889	GCNT7	1	1	0
ID_10679	LIPC	2	1	1
ID_21283	HMGA2	1	0	0
ID_70847	C11orf96	2	3	6
ID_38972	VTA1	1	0	0
ID_27302	TSHZ1	1	1	1
ID_47853	GIGYF1	1	2	0
ID_64110	FAM47B	1	0	1
ID_41944	DPPA4	3	3	0
ID_11810	MT1B	1	0	0
ID_49033	PLEKHF1	2	5	1
ID_42545	CHST12	1	1	4
ID_3651	COL15A1	1	0	1
ID_23144	SOCS2	1	3	2
ID_31497	UNC13A	1	2	3
ID_66547	MPV17L	1	10	6
ID_56283	ASB16	1	1	1
ID_34160	C20orf194	2	2	2
ID_480	CRISP1	2	0	1
ID_2073	LDLRAD4	1	0	1
ID_74735	DCDC2C	1	1	0
ID_8717	HOXC5	2	4	2
ID_49278	C2orf47	1	0	0
ID_4575	DCN	2	4	5
ID_37556	HDDC2	1	1	1
ID_4711	CFD	2	2	0
ID_65931	DAGLB	1	1	0
ID_68238	SLC36A3	1	2	0
ID_45352	CBX8	1	1	6
ID_52560	RAB34	1	2	2
ID_43934	PCDHGA4	1	2	1
ID_55063	PNPT1	1	0	1
ID_57952	SLC16A10	1	1	0
ID_77274	controlguide833	2	5	3
ID_12293	NDUFA8	1	1	1
ID_68780	OR5AP2	3	0	1
ID_57578	WDFY2	1	2	0
ID_305	ADCY9	1	3	0
ID_8221	HBZ	1	4	0
ID_48097	IQCH	1	0	0
ID_7541	GPR17	1	1	0
ID_27944	DLC1	1	3	1
ID_10754	LOXL1	2	0	0
ID_32652	NCSTN	1	1	0
ID_37067	SOX8	3	5	6
ID_26159	HEPH	1	1	0
ID_73038	SMIM4	1	2	0
ID_54185	TUBA1C	1	0	1
ID_19619	TRPM2	1	0	2
ID_11085	MAN2B1	2	1	3
ID_9029	HTR1F	1	2	0
ID_27319	MPHOSPH9	1	0	0
ID_42211	RHOT1	1	0	1
ID_65660	REEP3	1	2	3
ID_10804	LRP6	1	0	1
ID_27415	GPA33	2	1	0
ID_20208	VWF	3	1	2
ID_5430	EPHA2	1	0	2
ID_74193	RD3L	1	4	1
ID_31417	IGSF9B	2	1	1
ID_25003	AKAP5	1	0	0
ID_65724	ADGRG5	2	1	2
ID_37678	YARS2	1	1	0
ID_32914	SEC11A	2	4	2
ID_15825	RAPSN	1	0	3
ID_71469	SPATA31D3	2	0	0
ID_54299	CCDC142	1	0	0
ID_57097	UCN3	2	5	3
ID_57770	OLIG1	1	1	0
ID_35249	OR4F3	1	0	1
ID_10426	KRT86	2	4	1
ID_11079	MAN2C1	3	3	1
ID_46804	ZNF350	2	3	1
ID_19102	TGFBR1	1	1	1
ID_56955	CHST14	1	0	2
ID_21818	PIP5K1A	1	1	1
ID_29294	FTCD	1	0	0
ID_6812	GAD2	1	1	0
ID_61266	TMEM86A	1	1	2
ID_4513	DAPK1	3	2	2
ID_75500	UPK3BL	1	1	0
ID_68108	C3orf33	2	2	1
ID_13455	PCSK1	1	5	4
ID_18928	DYNLT1	1	2	1
ID_53796	PARD6G	2	1	1
ID_54135	UNC119B	2	1	0
ID_30154	HIBADH	2	0	1
ID_43287	TTC17	1	6	2
ID_14202	PLP2	1	2	0
ID_52149	APH1B	1	3	1
ID_28485	SLC35A1	3	4	3
ID_48638	OTUB2	2	2	0
ID_40577	KCTD9	3	2	0
ID_70402	SPATA21	1	1	1
ID_50367	NANOG	1	1	0
ID_6535	FOLR1	1	1	1
ID_62454	METTL21A	1	1	1
ID_24584	LHX2	1	0	0
ID_52905	USP44	1	3	3
ID_14702	NPY4R	1	1	2
ID_14026	PITX1	1	0	0
ID_34367	TMEM98	2	0	0
ID_15873	RB1	1	5	4
ID_22746	B3GALT1	1	3	0
ID_33164	SNAPIN	2	0	0
ID_33683	SUN2	1	0	0
ID_69837	DGAT2L6	1	2	2
ID_14183	FXYD3	1	2	0
ID_2837	CDH3	1	1	0
ID_8294	HEXB	1	0	1
ID_17884	SNRPD1	1	0	0
ID_55859	PKDCC	2	0	0
ID_8492	HMGN1	1	1	0
ID_19844	UBE2D2	1	1	1
ID_26037	IP6K1	4	0	3
ID_43293	ZNF701	1	3	2
ID_48331	MRPL32	1	0	2
ID_63739	FAM43B	2	2	5
ID_74192	RD3L	1	0	3
ID_46775	PLEKHA2	2	0	0
ID_63067	CLVS1	3	1	2
ID_72953	PRAMEF11	2	2	1
ID_37510	SLC35C2	2	3	2
ID_21517	HIST3H3	1	1	2
ID_68809	KRT79	1	2	2
ID_23319	EIF2B3	2	0	0
ID_56634	MUC16	1	1	1
ID_10102	KCNN1	2	0	0
ID_8246	HCRT	1	2	3
ID_63930	MIER3	1	1	3
ID_56135	TMEM88	1	1	4
ID_7602	GPR34	1	2	2
ID_23485	HIST1H3F	1	1	0
ID_70866	CLEC2A	1	6	6
ID_31531	PHLPP2	1	0	2
ID_32648	SPECC1L	1	2	1
ID_43540	EAF2	3	1	2
ID_13141	OTX1	2	1	0
ID_37096	KCNIP2	1	1	0
ID_28728	TAF6L	1	9	13
ID_29526	EDAR	2	1	1
ID_20712	ZNF146	1	5	2
ID_32608	ARHGEF18	1	3	0
ID_36323	COMMD5	1	1	2
ID_70165	ZNF233	2	4	2
ID_39873	WNT4	2	1	1
ID_49358	CEP97	2	0	0
ID_65571	SKA1	2	0	0
ID_8726	HOXC8	1	7	3
ID_15147	PSMA2	1	0	0
ID_62495	FAHD2B	1	0	1
ID_73575	FAM72C	1	0	0
ID_22755	TNK1	1	3	0
ID_25407	SNCAIP	2	0	5
ID_44621	DUS3L	1	1	0
ID_74004	LOC645382	1	0	0
ID_26064	GIT2	2	0	0
ID_59686	NUP35	2	0	1
ID_1045	AQP9	1	0	0
ID_9209	IFNA4	1	1	3
ID_54544	ATG4C	2	3	1
ID_22696	JRKL	3	2	2
ID_43978	PCDHB8	2	1	0
ID_36384	C1GALT1C1	4	2	0
ID_27188	TRIM28	2	1	0
ID_15563	PVRL2	2	1	4
ID_52955	CEP78	1	2	0
ID_63964	FAM151B	3	0	2
ID_5562	EMX1	1	4	2
ID_10730	LMX1A	2	3	2
ID_386	ADPRH	1	2	0
ID_13060	OPRK1	3	0	1
ID_8614	HNRNPL	2	0	1
ID_17433	SLC1A3	2	7	3
ID_72252	ZNF772	3	6	3
ID_75657	NBPF20	2	3	3
ID_25089	EEF1E1	1	1	2
ID_28448	PRDX4	2	1	2
ID_43681	MESP1	1	0	0
ID_74642	NXF2B	1	6	6
ID_37870	SBDS	2	0	0
ID_8448	HLF	2	2	1
ID_73526	CKMT1A	1	1	0
ID_7367	GNG5	1	1	0
ID_65688	ARL5B	1	2	3
ID_49183	BHLHE41	1	1	1
ID_64030	BHLHA15	1	1	1
ID_9789	ITGAV	2	1	0
ID_51896	NUAK2	2	1	7
ID_5972	F9	1	0	0
ID_56474	C1orf158	3	3	3
ID_17595	SLC9A3	2	2	1
ID_42112	THNSL2	2	5	8
ID_38169	TCEB3B	1	1	0
ID_76300	NPIPA8	1	2	3
ID_35071	CNNM4	4	1	8
ID_70203	IRF2BP2	1	0	1
ID_30331	NUDT5	1	2	3
ID_73360	H2AFB2	1	0	1
ID_55525	STPG1	1	2	2
ID_54994	ZNF518B	2	2	0
ID_34591	TANC2	1	3	2
ID_61308	FAM101A	1	0	0
ID_68730	TAS2R60	3	3	0
ID_20485	ZNF14	1	3	1
ID_17038	CCL25	2	0	3
ID_39353	ZNF44	3	3	3
ID_11503	MIPEP	1	0	0
ID_54209	NFKBID	1	0	1
ID_51370	INTS5	1	0	0
ID_17941	SOD3	2	2	4
ID_49333	RNF128	1	2	5
ID_12044	MYH7	1	2	2
ID_60545	HGSNAT	3	1	0
ID_49403	HMBOX1	2	2	2
ID_3221	CHRNA2	1	1	0
ID_35327	COPG2	2	0	1
ID_9514	IL13RA1	1	1	0
ID_34205	NUDT13	1	0	0
ID_27085	DNAL4	1	0	0
ID_15086	PSAP	1	1	0
ID_1494	ATP5O	2	2	0
ID_14906	MAPK11	1	1	1
ID_29716	YWHAQ	1	4	0
ID_15823	RAP2B	1	6	3
ID_28739	ATP5L	2	0	0
ID_73170	CDNF	1	0	0
ID_71951	OR2L8	1	3	0
ID_37339	ASAP1	1	0	0
ID_57127	CGB2	2	0	0
ID_3919	CRP	1	2	3
ID_2022	C8A	1	1	4
ID_46352	WDR19	2	7	4
ID_67876	SLC25A42	1	0	1
ID_59444	UHMK1	1	0	0
ID_5320	EEF1D	2	0	1
ID_20919	ZYX	3	2	0
ID_46765	PRDM12	2	4	3
ID_32644	MAU2	1	0	0
ID_28089	TIMM17A	1	1	0
ID_31250	PLA2R1	2	3	1
ID_15938	RBP2	1	4	3
ID_61422	ABHD12B	1	0	1
ID_18142	SPTB	1	2	0
ID_12055	MYH10	1	3	1
ID_66646	PCSK9	1	1	1
ID_12562	TONSL	1	1	0
ID_3629	COL10A1	2	4	1
ID_1236	ASAH1	2	2	2
ID_23853	USP14	2	0	0
ID_45578	SHROOM4	1	3	7
ID_44111	MTFR1L	5	5	6
ID_11423	MGAT1	1	1	0
ID_53778	KIAA1841	2	0	1
ID_40303	UGT1A9	1	3	1
ID_57565	FANCD2OS	2	0	0
ID_55642	C16orf93	1	1	0
ID_71877	ZNF793	2	3	3
ID_56809	GTF3C6	1	1	2
ID_58068	PSTK	1	1	0
ID_4771	DIAPH2	1	3	2
ID_15009	PRPS1	1	1	3
ID_2713	CD48	3	5	6
ID_11075	MAN2A2	1	0	0
ID_15027	PRRG1	1	0	0
ID_54607	RELT	1	1	0
ID_19161	THPO	2	1	2
ID_33015	SLC39A14	1	2	0
ID_7264	GLUD1	1	0	2
ID_72724	SPINK14	1	2	2
ID_57444	DDIT4L	2	2	0
ID_65627	ZNF438	1	0	1
ID_15766	RAG1	1	0	2
ID_11275	DNAJB9	1	0	0
ID_50395	KIAA0319L	2	0	3
ID_73618	DEFB134	1	2	0
ID_31822	RAD54L2	1	1	1
ID_37624	PI15	2	3	0
ID_16675	RTN1	1	2	0
ID_72166	PATE4	3	2	1
ID_27602	UBE4B	1	2	1
ID_17197	SRSF3	1	0	0
ID_27241	DHRS9	2	5	3
ID_18857	ZNF354A	1	0	3
ID_22352	RRP1	2	0	0
ID_23556	LIMD1	1	1	0
ID_50657	TRPM3	1	0	1
ID_57387	WDR31	1	0	0
ID_42349	BLOC1S4	1	2	4
ID_24677	COG1	1	1	1
ID_14256	PML	2	3	3
ID_63680	GBP6	1	3	0
ID_19034	TFDP1	1	0	0
ID_69178	ZDHHC21	1	2	1
ID_52525	ROPN1L	2	2	1
ID_73014	PIWIL3	1	2	0
ID_21446	PNPLA4	3	2	3
ID_58482	TRAPPC6B	4	2	1
ID_4601	DDB2	2	0	4
ID_4994	DPP4	1	1	1
ID_73735	TMEM232	1	4	3
ID_27277	LHFPL2	5	5	7
ID_55082	TRIM4	1	0	1
ID_74638	GTF2H2C	1	0	0
ID_14550	PPM1B	1	3	1
ID_15477	PTPRE	2	2	0
ID_28319	SEMA4D	3	4	2
ID_53634	ZNF333	1	1	3
ID_72483	LCNL1	1	1	3
ID_22876	ADAM21	1	1	2
ID_57463	GPR146	1	0	0
ID_5700	STX2	1	1	2
ID_55692	ZNF251	2	0	0
ID_6496	FMO3	1	1	1
ID_19557	TRAF2	2	3	0
ID_32286	ADGRL2	1	1	4
ID_75545	TOMM6	1	0	1
ID_51748	PLA2G12A	2	3	0
ID_8014	GUCY2C	3	3	2
ID_6258	FGF7	4	1	2
ID_253	ADA	1	1	1
ID_34900	FBXO6	1	1	0
ID_51249	SLC35G2	1	1	0
ID_904	APCS	3	2	0
ID_63456	SPRED1	4	5	6
ID_30939	ZNF652	3	5	2
ID_16019	REST	1	0	0
ID_1688	BDH1	3	2	2
ID_74147	SH2D7	1	2	2
ID_64826	CENPV	2	0	0
ID_68055	RGPD4	1	3	1
ID_44616	FEM1C	1	0	3
ID_58808	KRBA2	2	0	0
ID_13890	PI3	1	0	1
ID_42094	TYW1	2	4	5
ID_50585	TMEM156	1	4	1
ID_70891	TMEM233	2	2	1
ID_73260	ZNF727	4	1	3
ID_57627	BATF2	1	0	0
ID_58813	SPATA32	2	2	1
ID_35434	NPHP3	1	5	0
ID_32639	AHCYL2	1	0	1
ID_4335	CYP1A1	1	3	2
ID_54242	LMNB2	1	1	0
ID_27608	EFS	2	2	0
ID_36152	PCLO	1	0	1
ID_58145	PNLIPRP3	3	1	0
ID_67290	HARBI1	1	2	2
ID_63372	CCDC60	1	0	2
ID_23962	AIFM1	1	0	0
ID_27218	WASF2	1	3	1
ID_35823	COQ2	1	0	0
ID_52063	PCDH11Y	3	3	6
ID_37321	RDH8	1	1	1
ID_13337	PAX5	1	1	2
ID_5550	EMP1	1	1	2
ID_31623	EMC1	2	0	0
ID_35238	OR7A5	1	4	1
ID_72010	USP17L7	1	3	3
ID_23078	FGF18	1	0	0
ID_74605	MAGED4	1	0	0
ID_7355	GNB3	1	1	1
ID_26205	CEP350	1	2	1
ID_58885	EFCAB13	3	0	1
ID_77138	controlguide697	2	3	5
ID_2512	CCNG2	1	4	1
ID_21871	EEA1	1	0	0
ID_16949	SCTR	3	4	0
ID_72550	CFAP99	2	1	1
ID_52120	PMFBP1	2	4	4
ID_49118	IRX6	1	2	0
ID_75502	UPK3BL	1	0	0
ID_25820	ARHGAP32	1	0	2
ID_21812	OR1G1	1	3	3
ID_34405	GLCE	2	1	1
ID_67749	PRR19	2	2	0
ID_38472	NME8	2	5	5
ID_32672	KIAA0368	2	0	0
ID_6159	FCGR2B	1	1	0
ID_3163	CHI3L2	1	1	1
ID_65728	PRSS54	1	2	2
ID_75233	LOC100129697	1	0	0
ID_76419	GAGE10	1	2	1
ID_4612	AKR1C1	1	1	0
ID_8150	HAGH	1	1	0
ID_71449	RBM12B	1	3	2
ID_27063	ENAM	3	3	4
ID_72624	OR6C65	3	1	5
ID_25141	PTGES	1	0	0
ID_75808	MTRNR2L10	2	2	2
ID_35898	CSDC2	2	0	0
ID_30693	SCN11A	2	5	1
ID_34195	KANK2	1	1	1
ID_67594	C17orf58	1	0	1
ID_10616	LGALS8	1	2	0
ID_71475	SPATA31D1	2	1	4
ID_21547	KLRC4	2	0	1
ID_32945	HEY2	1	3	2
ID_23350	PRPF4B	3	1	2
ID_33082	PIK3R5	2	2	0
ID_69810	LANCL3	1	0	2
ID_21475	NAA10	1	0	0
ID_16893	SCN4A	1	1	0
ID_7907	GSTM5	1	1	1
ID_20832	ZNF214	1	3	3
ID_39665	TRIM34	1	7	1
ID_41204	SLC35F6	1	0	2
ID_66611	MBLAC1	1	0	1
ID_22487	JRK	2	1	1
ID_20875	ZNF230	1	1	0
ID_33990	POC1A	1	1	0
ID_48453	WNK1	1	0	3
ID_72659	SPINK6	1	2	6
ID_32761	MLYCD	1	1	3
ID_59349	ZNF684	3	1	1
ID_49620	CENPU	1	0	2
ID_61779	SLC25A52	1	3	2
ID_33722	FBXO7	1	0	1
ID_3937	CRYAA	1	0	2
ID_36127	TOR2A	1	5	1
ID_76083	POC1B-GALNT4	1	2	4
ID_64310	POLR3H	1	0	1
ID_46339	IGDCC4	2	1	2
ID_16166	RLF	2	2	3
ID_50259	CAAP1	1	0	0
ID_53344	NTPCR	1	1	1
ID_66208	CDC26	2	1	0
ID_71613	OR56A5	1	1	0
ID_2501	CCNF	1	0	1
ID_9263	IFNB1	1	1	0
ID_52702	TATDN1	1	2	5
ID_52686	HDAC10	1	1	2
ID_42598	ELAC1	1	2	3
ID_41073	OCIAD1	2	2	0
ID_46583	JAM2	1	2	3
ID_58616	TARSL2	1	2	5
ID_11927	MUC7	2	6	5
ID_20239	CORO2A	3	0	3
ID_17489	SLC4A2	2	2	0
ID_53312	SLC25A33	2	1	1
ID_71569	OR51I1	2	0	5
ID_31276	POMZP3	1	0	0
ID_62720	KLB	1	3	1
ID_54348	ZBTB45	1	0	1
ID_63119	OR1Q1	1	0	0
ID_48376	RAPH1	1	5	0
ID_48026	RMND5B	2	1	0
ID_75137	KIAA1024L	1	1	0
ID_20859	ZNF226	1	0	0
ID_57148	ERMAP	3	2	1
ID_53693	JPH4	2	1	2
ID_56644	CGB7	1	2	1
ID_71867	OR7G3	1	1	3
ID_51138	ABTB1	1	0	1
ID_7994	GUCA1B	2	1	2
ID_12588	NGF	2	2	3
ID_45053	CD248	1	1	2
ID_13892	PI3	1	6	4
ID_34180	RWDD3	1	3	1
ID_67493	FAM169B	1	0	1
ID_34879	FBXO22	1	1	2
ID_44900	CHRNA10	2	1	0
ID_55612	PAGE5	1	0	1
ID_19448	TOP2B	1	1	0
ID_29575	RALBP1	1	2	0
ID_44063	TEX13B	2	0	2
ID_61971	ZNF98	2	0	3
ID_67125	IFNL3	1	0	1
ID_73622	CTXN3	2	0	0
ID_34287	HIGD1A	1	0	0
ID_44001	PCDHAC2	1	2	1
ID_68150	TPRG1	1	0	0
ID_58605	MTFMT	1	0	0
ID_698	ALPPL2	1	2	1
ID_75547	TOMM6	3	2	0
ID_963	APOC1	1	2	3
ID_40095	CPVL	2	7	5
ID_19302	TSPAN8	1	2	0
ID_76715	controlguide274	1	3	3
ID_52363	CD99L2	1	2	5
ID_15502	PTPRM	2	1	2
ID_47296	CDH23	1	0	0
ID_42840	ZDHHC7	3	2	3
ID_49975	UGT2A3	1	0	0
ID_45034	CAMK1D	1	3	1
ID_13502	PDE2A	2	2	1
ID_55205	TPD52L3	1	0	2
ID_50698	C7orf69	1	2	2
ID_19811	UBA52	1	0	0
ID_64605	FAM76A	3	3	6
ID_76981	controlguide540	2	1	0
ID_18029	SPAG1	1	0	0
ID_11113	MAP4	1	0	0
ID_21688	HIST1H2BC	1	0	0
ID_29698	IFI44L	1	2	3
ID_50573	DOCK5	2	3	4
ID_1661	BCL9	2	1	3
ID_18729	CNTN2	2	6	0
ID_19924	UCP2	4	4	1
ID_57940	MRGPRX4	1	0	2
ID_21286	ALX1	1	1	0
ID_72726	FNDC9	3	1	1
ID_33281	PATZ1	3	2	1
ID_27984	WFDC2	1	5	0
ID_1265	ASNA1	1	2	0
ID_46337	METTL14	1	0	0
ID_6629	FUCA2	2	2	4
ID_50074	NAA40	1	2	2
ID_20715	TRIM25	1	0	0
ID_24118	ZW10	1	1	0
ID_37754	YBX2	1	0	1
ID_29661	PDIA5	3	1	3
ID_13345	PAX7	2	2	0
ID_50163	SNX22	2	0	0
ID_28385	NOP56	2	1	0
ID_32386	WSCD1	1	0	0
ID_50160	TM4SF20	2	1	2
ID_76368	LOC101928436	1	0	1
ID_44543	STARD7	2	0	0
ID_25713	AQR	1	0	0
ID_2402	RUNX1	1	2	1
ID_36823	GPR132	1	0	0
ID_2901	CDK3	1	4	3
ID_43064	VAC14	1	0	2
ID_27056	HIPK3	2	2	4
ID_11121	MAPT	1	2	0
ID_17668	SLC18A2	1	5	1
ID_29479	RUNDC3A	1	1	2
ID_37380	TAS2R9	1	3	0
ID_19415	TNNT3	1	0	2
ID_41379	FKBP14	1	1	1
ID_29146	ZNF234	1	3	0
ID_46213	CACHD1	1	2	0
ID_14633	PPP2R3A	2	0	2
ID_7062	GFER	1	0	0
ID_25025	RPH3AL	1	3	4
ID_41527	CCDC186	1	0	1
ID_10744	VWA5A	1	0	2
ID_20926	PRDM2	4	1	1
ID_1893	BST1	2	2	0
ID_41995	RAVER2	2	4	3
ID_13116	SLC22A18AS	2	1	4
ID_62983	WBSCR27	2	3	1
ID_5888	EVPL	3	0	1
ID_42650	SOX6	2	2	0
ID_70814	CC2D2B	1	0	0
ID_57281	SMYD4	1	3	0
ID_25083	TBPL1	1	0	2
ID_10022	KCNH2	1	3	1
ID_54520	RAB2B	1	0	0
ID_65412	OR10G8	2	5	1
ID_74225	GATSL3	1	5	2
ID_11748	MYO1B	1	3	5
ID_24864	MAP4K4	2	0	1
ID_32846	ANGPTL2	1	1	0
ID_71732	OR6X1	1	1	0
ID_28201	HMGN4	1	1	1
ID_22778	MBTPS1	4	3	0
ID_22325	DENR	1	0	0
ID_32148	PLCL2	1	5	4
ID_51000	CEP63	1	1	0
ID_35387	USP21	1	2	2
ID_71490	LCN15	1	0	3
ID_73148	GLRA4	2	1	4
ID_65835	ZBTB9	2	0	1
ID_13617	ENPP1	1	2	3
ID_34369	TMEM98	1	2	0
ID_58245	COLCA2	2	2	1
ID_35098	INTS6	2	0	1
ID_30396	TREH	1	0	2
ID_4893	DNAH9	4	5	7
ID_21400	NCOA3	2	1	0
ID_51307	TMEM121	1	2	1
ID_4928	DYNC1I2	1	0	0
ID_44546	STARD7	2	0	2
ID_75112	DDTL	1	1	1
ID_66264	FNDC5	2	1	0
ID_65885	VWDE	2	5	4
ID_53048	POLR1B	2	0	0
ID_50437	LPPR3	1	1	1
ID_35703	BRPF3	1	2	0
ID_6898	GAS6	3	5	5
ID_32569	FAM189A1	2	1	1
ID_1123	RHOG	1	0	1
ID_39234	CDK5RAP1	1	1	0
ID_38738	DDX41	1	0	0
ID_69943	SELV	1	6	5
ID_35015	FAM162A	1	0	1
ID_75388	PRR23D1	1	1	2
ID_27934	ANAPC10	1	1	3
ID_23502	MGAM	2	1	3
ID_18844	ZEB1	1	2	1
ID_7028	GDF2	1	0	0
ID_60619	OR13C8	2	5	1
ID_16194	RNASEL	1	0	1
ID_26920	HUWE1	2	0	0
ID_33671	TBC1D22A	1	2	2
ID_46065	KLHL1	2	1	0
ID_7722	GRID1	1	0	0
ID_74805	ZNF736	1	3	1
ID_22152	MMP23B	2	3	4
ID_38637	SNX7	3	5	2
ID_56377	HNRNPLL	2	4	2
ID_30882	IKZF3	1	1	0
ID_55591	PPP1R3E	1	2	1
ID_74758	SLC35E2B	1	3	2
ID_57026	CYP2U1	1	0	3
ID_66220	LACE1	2	4	2
ID_32824	OTP	2	4	6
ID_8555	HNF4A	1	2	1
ID_3321	AP1S1	1	0	0
ID_23491	HIST1H2AG	2	2	1
ID_8355	HIVEP1	2	3	0
ID_20933	PTP4A1	2	3	0
ID_36829	SNX12	2	0	0
